t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0.13,0.0036465,-0.025119,-0.050846,0.11062,0.79729,-0.46821,0.0064216,-0.035865,-0.032276,0.016701,0.017194,-0.03276,0.0036465,0.025119,-0.050846,-0.11062,0.79729,0.46821,0.0064216,0.035865,-0.032276,-0.016701,0.017194,0.03276,-0.015862,-4.0806e-09,0.001543,-5.574e-09,-0.0144,-3.1521e-08,-0.01059,-2.5585e-09,0.0020683,9.9343e-11,-0.00028072,2.8325e-09
0.14,0.001857,-0.023572,-0.052172,0.11909,0.81551,-0.44467,0.0054119,-0.033679,-0.032928,0.016941,0.017465,-0.031327,0.001857,0.023572,-0.052172,-0.11909,0.81551,0.44467,0.0054119,0.033678,-0.032928,-0.016941,0.017465,0.031327,-0.015794,-4.3228e-09,0.0016009,-5.3166e-09,-0.013828,-3.5018e-08,-0.010552,-2.9345e-09,0.0019454,9.1569e-11,-0.00023624,2.6888e-09
0.15,9.2678e-05,-0.022156,-0.053449,0.12695,0.83304,-0.42316,0.0044192,-0.031685,-0.033558,0.017203,0.017734,-0.029978,9.2696e-05,0.022156,-0.053449,-0.12695,0.83304,0.42315,0.0044192,0.031685,-0.033558,-0.017203,0.017734,0.029978,-0.015723,-4.5776e-09,0.0016555,-4.8855e-09,-0.013229,-3.8746e-08,-0.010511,-3.3275e-09,0.0018221,9.2879e-11,-0.00019545,2.5084e-09
0.16,-0.0016394,-0.020793,-0.054503,0.13381,0.8472,-0.40223,0.0034275,-0.029778,-0.03406,0.017424,0.017943,-0.028616,-0.0016393,0.020793,-0.054503,-0.13382,0.8472,0.40222,0.0034275,0.029778,-0.03406,-0.017424,0.017943,0.028617,-0.015649,-4.7988e-09,0.0017058,-4.555e-09,-0.012592,-4.182e-08,-0.010466,-3.6707e-09,0.0016989,7.2295e-11,-0.00015771,2.3551e-09
0.17,-0.0033235,-0.019498,-0.055354,0.13969,0.85832,-0.38212,0.0024428,-0.027976,-0.034447,0.017603,0.018098,-0.027269,-0.0033235,0.019498,-0.055354,-0.13969,0.85832,0.38212,0.0024428,0.027976,-0.034447,-0.017603,0.018098,0.027269,-0.015571,-4.9698e-09,0.0017511,-4.4996e-09,-0.011907,-4.3908e-08,-0.010417,-3.9412e-09,0.0015765,1.5156e-11,-0.00012245,2.2517e-09
0.18,-0.0049495,-0.018314,-0.056084,0.14477,0.86766,-0.36358,0.001474,-0.026338,-0.034772,0.017757,0.018225,-0.026001,-0.0049495,0.018314,-0.056084,-0.14477,0.86766,0.36358,0.001474,0.026337,-0.034772,-0.017756,0.018225,0.026001,-0.01549,-5.1049e-09,0.0017907,-4.6653e-09,-0.011169,-4.5283e-08,-0.010364,-4.1592e-09,0.0014554,-6.6342e-11,-8.9186e-05,2.1761e-09
0.19,-0.0065139,-0.017263,-0.056742,0.14921,0.876,-0.34701,0.00052366,-0.024891,-0.035066,0.017896,0.018337,-0.024853,-0.0065139,0.017263,-0.056742,-0.14921,0.876,0.347,0.00052364,0.02489,-0.035066,-0.017896,0.018337,0.024853,-0.015406,-5.2059e-09,0.0018242,-5.0743e-09,-0.010375,-4.5986e-08,-0.010307,-4.3254e-09,0.0013362,-1.7194e-10,-5.7566e-05,2.1223e-09
0.2,-0.008015,-0.016343,-0.057345,0.15308,0.88356,-0.33236,-0.00040841,-0.023629,-0.035337,0.018021,0.01844,-0.023833,-0.008015,0.016343,-0.057344,-0.15308,0.88356,0.33236,-0.00040844,0.023628,-0.035336,-0.018021,0.01844,0.023832,-0.01532,-5.2622e-09,0.0018514,-5.8169e-09,-0.0095233,-4.5829e-08,-0.010246,-4.4251e-09,0.0012192,-3.0748e-10,-2.7353e-05,2.1049e-09
0.21,-0.0094528,-0.01555,-0.057902,0.15644,0.8905,-0.31957,-0.0013241,-0.022543,-0.035591,0.018133,0.018534,-0.022943,-0.0094527,0.015549,-0.057902,-0.15644,0.89049,0.31957,-0.0013242,0.022543,-0.035591,-0.018133,0.018534,0.022943,-0.015231,-5.2612e-09,0.001872,-7.0051e-09,-0.008613,-4.4584e-08,-0.010181,-4.4406e-09,0.0011047,-4.793e-10,1.6774e-06,2.1443e-09
0.22,-0.010826,-0.014881,-0.058426,0.15938,0.89698,-0.30862,-0.0022228,-0.021627,-0.035834,0.018232,0.018622,-0.022191,-0.010826,0.014881,-0.058426,-0.15937,0.89697,0.30861,-0.0022228,0.021627,-0.035834,-0.018232,0.018622,0.022191,-0.01514,-5.2029e-09,0.0018861,-8.6055e-09,-0.0076463,-4.2301e-08,-0.010114,-4.3691e-09,0.00099283,-6.7875e-10,2.9634e-05,2.2417e-09
0.23,-0.012135,-0.014337,-0.058931,0.16196,0.90322,-0.29947,-0.0031011,-0.020874,-0.036074,0.018323,0.01871,-0.021581,-0.012135,0.014337,-0.058931,-0.16196,0.90322,0.29947,-0.0031011,0.020874,-0.036074,-0.018323,0.01871,0.021581,-0.015048,-5.1158e-09,0.0018941,-1.0257e-08,-0.0066301,-3.962e-08,-0.010044,-4.2546e-09,0.0008839,-8.7193e-10,5.6508e-05,2.3504e-09
0.24,-0.01338,-0.013914,-0.059432,0.16427,0.90941,-0.29211,-0.0039563,-0.020278,-0.036314,0.018408,0.018798,-0.021118,-0.01338,0.013914,-0.059431,-0.16427,0.9094,0.29211,-0.0039564,0.020278,-0.036314,-0.018408,0.018798,0.021118,-0.014955,-5.0303e-09,0.0018963,-1.157e-08,-0.0055716,-3.7202e-08,-0.0099711,-4.1446e-09,0.00077809,-1.0254e-09,8.2297e-05,2.4267e-09
0.25,-0.01456,-0.01361,-0.059928,0.16634,0.91553,-0.28646,-0.0047872,-0.019828,-0.036555,0.01849,0.018887,-0.020802,-0.01456,0.01361,-0.059928,-0.16634,0.91553,0.28646,-0.0047873,0.019828,-0.036555,-0.01849,0.018887,0.020802,-0.014861,-4.9609e-09,0.0018931,-1.2391e-08,-0.004475,-3.5328e-08,-0.0098967,-4.0595e-09,0.00067537,-1.1272e-09,0.00010704,2.4532e-09
0.26,-0.015671,-0.013418,-0.060409,0.1682,0.92142,-0.2824,-0.0055925,-0.01951,-0.036788,0.018564,0.018972,-0.020627,-0.015671,0.013418,-0.060409,-0.1682,0.92142,0.28239,-0.0055925,0.01951,-0.036788,-0.018564,0.018972,0.020627,-0.014766,-4.9134e-09,0.0018846,-1.2693e-08,-0.0033434,-3.4087e-08,-0.0098208,-4.0076e-09,0.00057565,-1.1753e-09,0.00013081,2.4248e-09
0.27,-0.01671,-0.013331,-0.060862,0.16983,0.92685,-0.27979,-0.0063707,-0.019311,-0.037005,0.01863,0.019049,-0.020588,-0.01671,0.013331,-0.060862,-0.16983,0.92685,0.27978,-0.0063708,0.019311,-0.037005,-0.01863,0.019049,0.020588,-0.014671,-4.8941e-09,0.001871,-1.2447e-08,-0.0021795,-3.357e-08,-0.0097438,-3.9964e-09,0.00047883,-1.1673e-09,0.00015366,2.335e-09
0.28,-0.017675,-0.013343,-0.061286,0.17127,0.9318,-0.27854,-0.0071216,-0.019217,-0.037203,0.018688,0.019115,-0.020677,-0.017675,0.013343,-0.061286,-0.17127,0.93181,0.27854,-0.0071217,0.019217,-0.037203,-0.018688,0.019115,0.020677,-0.014575,-4.9012e-09,0.0018524,-1.1755e-08,-0.00098601,-3.3675e-08,-0.0096658,-4.0182e-09,0.0003848,-1.1156e-09,0.00017568,2.1908e-09
0.29,-0.018569,-0.013451,-0.061687,0.17254,0.93636,-0.27859,-0.0078461,-0.019221,-0.037386,0.018741,0.019172,-0.020892,-0.018569,0.01345,-0.061688,-0.17254,0.93636,0.27859,-0.0078462,0.01922,-0.037386,-0.018741,0.019172,0.020893,-0.01448,-4.9252e-09,0.001829,-1.0813e-08,0.00023438,-3.4154e-08,-0.0095872,-4.0586e-09,0.00029347,-1.0432e-09,0.00019693,2.0088e-09
0.3,-0.019407,-0.013655,-0.062109,0.17378,0.94116,-0.28002,-0.0085507,-0.019321,-0.037579,0.018801,0.019234,-0.021238,-0.019407,0.013655,-0.06211,-0.17378,0.94116,0.28002,-0.0085508,0.019321,-0.037579,-0.018801,0.019234,0.021238,-0.014385,-4.9894e-09,0.0018011,-9.3942e-09,0.0014787,-3.5437e-08,-0.0095083,-4.1494e-09,0.00020474,-9.2573e-10,0.00021749,1.7552e-09
0.31,-0.02019,-0.013948,-0.062545,0.17499,0.94609,-0.28266,-0.0092351,-0.019503,-0.037776,0.018868,0.019298,-0.021702,-0.02019,0.013948,-0.062545,-0.17499,0.94609,0.28266,-0.0092352,0.019503,-0.037776,-0.018868,0.019298,0.021702,-0.01429,-5.0577e-09,0.0017689,-7.9777e-09,0.0027417,-3.6763e-08,-0.0094292,-4.235e-09,0.0001187,-8.0433e-10,0.00023737,1.479e-09
0.32,-0.020914,-0.014317,-0.062972,0.17612,0.95081,-0.28633,-0.0098978,-0.01975,-0.037962,0.018936,0.019355,-0.022266,-0.020914,0.014317,-0.062972,-0.17612,0.95081,0.28633,-0.0098979,0.01975,-0.037962,-0.018936,0.019355,0.022267,-0.014195,-5.1096e-09,0.0017327,-6.8147e-09,0.0040205,-3.7723e-08,-0.0093501,-4.2903e-09,3.5254e-05,-7.017e-10,0.00025662,1.2109e-09
0.33,-0.021583,-0.014756,-0.063394,0.1772,0.95539,-0.29094,-0.010541,-0.020051,-0.038141,0.019008,0.019409,-0.022922,-0.021583,0.014756,-0.063394,-0.1772,0.95539,0.29094,-0.010541,0.020051,-0.038141,-0.019008,0.019409,0.022922,-0.014101,-5.1461e-09,0.0016925,-5.8772e-09,0.0053132,-3.8344e-08,-0.0092712,-4.3156e-09,-4.5698e-05,-6.1334e-10,0.00027532,9.509e-10
0.34,-0.0222,-0.01526,-0.063814,0.17824,0.95984,-0.2964,-0.011168,-0.020397,-0.038313,0.019085,0.019459,-0.023659,-0.0222,0.01526,-0.063814,-0.17824,0.95984,0.2964,-0.011168,0.020398,-0.038313,-0.019085,0.019459,0.023659,-0.014007,-5.1636e-09,0.0016487,-5.1698e-09,0.006618,-3.8577e-08,-0.0091927,-4.306e-09,-0.00012428,-5.4131e-10,0.00029352,7.0393e-10
0.35,-0.02277,-0.015823,-0.064234,0.17925,0.9642,-0.30263,-0.011778,-0.020782,-0.038478,0.019167,0.019506,-0.024466,-0.02277,0.015823,-0.064234,-0.17925,0.9642,0.30263,-0.011779,0.020782,-0.038478,-0.019167,0.019506,0.024466,-0.013914,-5.1597e-09,0.0016012,-4.695e-09,0.007933,-3.839e-08,-0.0091147,-4.2601e-09,-0.00020061,-4.8755e-10,0.00031127,4.7241e-10
0.36,-0.023295,-0.016439,-0.064656,0.18026,0.96851,-0.30955,-0.012376,-0.021196,-0.038639,0.019258,0.019549,-0.025334,-0.023295,0.016439,-0.064656,-0.18026,0.96851,0.30955,-0.012376,0.021197,-0.038639,-0.019258,0.019549,0.025334,-0.013822,-5.1382e-09,0.0015503,-4.4132e-09,0.0092566,-3.7864e-08,-0.0090374,-4.1885e-09,-0.00027481,-4.4603e-10,0.0003286,2.5454e-10
0.37,-0.02378,-0.017104,-0.065086,0.18127,0.97284,-0.31711,-0.012964,-0.021637,-0.038798,0.019357,0.019591,-0.026254,-0.02378,0.017104,-0.065086,-0.18127,0.97284,0.31711,-0.012964,0.021637,-0.038798,-0.019357,0.019591,0.026254,-0.01373,-5.0968e-09,0.0014961,-4.3415e-09,0.010587,-3.6959e-08,-0.0089609,-4.0896e-09,-0.00034702,-4.1798e-10,0.00034556,5.4889e-11
