t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0.13,0.052836,-0.09298,-0.15034,0.010007,1.4866,-1.3036,0.045665,-0.10534,-0.06963,0.014666,0.029332,-0.06044,0.052837,0.092979,-0.15034,-0.010009,1.4866,1.3036,0.045665,0.10534,-0.06963,-0.014666,0.029332,0.06044,-0.086076,-3.4613e-08,0.014782,-2.5249e-08,-0.11215,-3.5158e-07,-0.050665,-2.8843e-08,0.011956,2.1089e-09,-0.0020705,-3.7764e-09
0.14,0.044478,-0.081885,-0.15204,0.034478,1.4989,-1.1708,0.04146,-0.094292,-0.069362,0.014687,0.029282,-0.055192,0.044478,0.081884,-0.15204,-0.034479,1.4989,1.1708,0.041461,0.094291,-0.069362,-0.014687,0.029282,0.055192,-0.085621,-3.549e-08,0.015227,-2.2431e-08,-0.10996,-3.587e-07,-0.050451,-2.9576e-08,0.011385,2.04e-09,-0.0018652,-3.9828e-09
0.15,0.036347,-0.071904,-0.15383,0.055563,1.513,-1.0524,0.037398,-0.084459,-0.069237,0.01481,0.029321,-0.050483,0.036347,0.071902,-0.15383,-0.055564,1.513,1.0524,0.037398,0.084458,-0.069237,-0.01481,0.029321,0.050482,-0.085134,-3.6339e-08,0.015641,-1.9313e-08,-0.10752,-3.656e-07,-0.05021,-3.0296e-08,0.010807,1.9996e-09,-0.0016755,-4.21e-09
0.16,0.028371,-0.062884,-0.15543,0.073506,1.5262,-0.94599,0.033398,-0.075658,-0.069133,0.014982,0.029387,-0.046216,0.028371,0.062883,-0.15543,-0.073507,1.5262,0.94597,0.033398,0.075657,-0.069133,-0.014982,0.029387,0.046215,-0.084616,-3.7093e-08,0.016019,-1.6146e-08,-0.10482,-3.7112e-07,-0.049941,-3.0921e-08,0.010224,1.9552e-09,-0.0014994,-4.3989e-09
0.17,0.020508,-0.054661,-0.15658,0.088509,1.536,-0.84928,0.029396,-0.067696,-0.06894,0.015157,0.029426,-0.042291,0.020508,0.05466,-0.15658,-0.088509,1.536,0.84926,0.029396,0.067695,-0.06894,-0.015157,0.029426,0.042291,-0.084068,-3.768e-08,0.016358,-1.3218e-08,-0.10182,-3.7407e-07,-0.049642,-3.1364e-08,0.0096417,1.8731e-09,-0.0013346,-4.4911e-09
0.18,0.012766,-0.047138,-0.15718,0.10079,1.5414,-0.7609,0.025373,-0.060461,-0.068613,0.015308,0.029411,-0.038657,0.012766,0.047136,-0.15718,-0.10079,1.5414,0.76088,0.025373,0.06046,-0.068612,-0.015308,0.029411,0.038657,-0.08349,-3.8134e-08,0.016656,-1.0666e-08,-0.098535,-3.7486e-07,-0.049313,-3.167e-08,0.0090645,1.7557e-09,-0.0011794,-4.5144e-09
0.19,0.0052207,-0.040386,-0.15738,0.11068,1.5438,-0.68171,0.021385,-0.054017,-0.068219,0.015435,0.029368,-0.03537,0.0052209,0.040385,-0.15738,-0.11068,1.5438,0.68169,0.021385,0.054016,-0.068219,-0.015435,0.029368,0.035369,-0.082887,-3.8488e-08,0.016912,-8.5339e-09,-0.094969,-3.7393e-07,-0.048955,-3.1863e-08,0.0084953,1.6261e-09,-0.0010326,-4.4848e-09
0.2,-0.0020753,-0.03448,-0.15736,0.11858,1.545,-0.61264,0.017475,-0.04843,-0.067831,0.015546,0.029322,-0.032491,-0.0020752,0.034479,-0.15736,-0.11857,1.545,0.61263,0.017475,0.048429,-0.067831,-0.015546,0.029322,0.03249,-0.082261,-3.8743e-08,0.017126,-6.9006e-09,-0.091132,-3.7125e-07,-0.048571,-3.1927e-08,0.0079371,1.5013e-09,-0.0008933,-4.388e-09
0.21,-0.0090963,-0.029462,-0.15724,0.12484,1.5459,-0.55418,0.013669,-0.043732,-0.067498,0.015646,0.029291,-0.030063,-0.0090961,0.029461,-0.15724,-0.12484,1.5459,0.55416,0.013669,0.04373,-0.067497,-0.015646,0.02929,0.030063,-0.081616,-3.8878e-08,0.017297,-5.9237e-09,-0.087035,-3.6642e-07,-0.048163,-3.183e-08,0.0073921,1.3784e-09,-0.00076061,-4.1922e-09
0.22,-0.015831,-0.025297,-0.15707,0.12984,1.5471,-0.50578,0.0099797,-0.039868,-0.067231,0.015738,0.029279,-0.02808,-0.015831,0.025295,-0.15707,-0.12983,1.5471,0.50577,0.0099797,0.039867,-0.067231,-0.015738,0.029279,0.028079,-0.080955,-3.8897e-08,0.017426,-5.3785e-09,-0.082703,-3.5992e-07,-0.047733,-3.16e-08,0.0068615,1.2642e-09,-0.00063433,-3.9266e-09
0.23,-0.022281,-0.021927,-0.1569,0.13384,1.5489,-0.46669,0.0064168,-0.036769,-0.067038,0.015822,0.029289,-0.02652,-0.02228,0.021926,-0.1569,-0.13384,1.5489,0.46667,0.0064168,0.036768,-0.067038,-0.015822,0.029289,0.02652,-0.080281,-3.8825e-08,0.017517,-4.8558e-09,-0.078166,-3.527e-07,-0.047284,-3.1292e-08,0.0063467,1.1776e-09,-0.00051428,-3.6471e-09
0.24,-0.028448,-0.019297,-0.15675,0.13711,1.5516,-0.43614,0.0029854,-0.034365,-0.066923,0.015902,0.029324,-0.025362,-0.028448,0.019296,-0.15675,-0.13711,1.5515,0.43613,0.0029855,0.034364,-0.066922,-0.015902,0.029324,0.025362,-0.079597,-3.8689e-08,0.017572,-3.9953e-09,-0.073452,-3.4563e-07,-0.04682,-3.0967e-08,0.0058484,1.1326e-09,-0.00040026,-3.3991e-09
