t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0.12,0.027337,-0.034559,-0.05492,0.12939,0.72734,-0.39215,0.028186,-0.037643,-0.037969,0.024006,0.010565,-0.035428,0.018075,0.11956,0.032256,-0.0061744,-0.79932,1.6965,-0.031475,0.13518,0.050289,-0.033545,0.0025538,0.11878,-0.01559,0.011937,0.0017933,0.0062814,-0.053948,0.1155,-0.01129,0.0090272,0.0039964,-0.0013541,-0.00081031,0.0044854
0.13,0.031095,-0.036434,-0.064382,0.15644,0.83461,-0.40214,0.030868,-0.040551,-0.043111,0.027412,0.011888,-0.038821,0.018323,0.12041,0.034035,-0.009723,-0.81835,1.7013,-0.031487,0.13576,0.049504,-0.033314,0.0033737,0.11922,-0.015488,0.012069,0.0018082,0.0067555,-0.053024,0.11601,-0.011251,0.0090717,0.0038236,-0.001239,-0.00070293,0.004409
0.14,0.032688,-0.035249,-0.069921,0.17523,0.88811,-0.37634,0.031217,-0.040402,-0.045395,0.029155,0.012458,-0.039496,0.018436,0.12042,0.035663,-0.01297,-0.83236,1.6943,-0.031377,0.13546,0.048182,-0.032924,0.0041329,0.11879,-0.015393,0.012218,0.0018366,0.0072281,-0.052301,0.1167,-0.011233,0.0091288,0.003644,-0.0011337,-0.00060203,0.004344
0.15,0.033504,-0.032763,-0.074082,0.19134,0.92217,-0.33515,0.030649,-0.039066,-0.046662,0.030357,0.012816,-0.039157,0.018569,0.1203,0.037272,-0.015812,-0.84555,1.6858,-0.031301,0.13508,0.046617,-0.032561,0.0048574,0.11822,-0.015304,0.012381,0.001877,0.0077022,-0.051749,0.11756,-0.011236,0.0091949,0.0034567,-0.0010367,-0.00050668,0.0042876
0.16,0.034328,-0.029925,-0.078437,0.20841,0.95726,-0.28925,0.029924,-0.037616,-0.047997,0.031682,0.013249,-0.038802,0.018825,0.12054,0.038981,-0.018231,-0.86099,1.6824,-0.031361,0.13516,0.044989,-0.032341,0.0055743,0.11797,-0.015219,0.012556,0.0019278,0.0081805,-0.05134,0.11852,-0.011255,0.0092666,0.0032608,-0.00094688,-0.00041609,0.0042372
0.17,0.034979,-0.026588,-0.082574,0.22536,0.98848,-0.23732,0.028874,-0.035886,-0.049181,0.032972,0.013694,-0.038261,0.019179,0.12094,0.040751,-0.020255,-0.87759,1.6816,-0.031503,0.13548,0.043238,-0.032216,0.0062783,0.11786,-0.015138,0.012741,0.0019877,0.0086651,-0.051048,0.11959,-0.011291,0.0093411,0.0030558,-0.00086325,-0.00032958,0.0041907
0.18,0.035233,-0.022594,-0.085935,0.24069,1.0094,-0.17813,0.027312,-0.033654,-0.049924,0.034016,0.014072,-0.037302,0.019592,0.12124,0.042511,-0.021902,-0.89366,1.6798,-0.031655,0.13574,0.041289,-0.032117,0.0069553,0.11765,-0.01506,0.012934,0.0020553,0.0091579,-0.050849,0.12072,-0.011339,0.0094153,0.0028411,-0.00078492,-0.00024659,0.0041459
0.19,0.035152,-0.018088,-0.088577,0.25442,1.0212,-0.11363,0.025316,-0.03105,-0.050321,0.034847,0.014401,-0.036031,0.020065,0.12143,0.04425,-0.023187,-0.90903,1.6767,-0.031803,0.1359,0.039152,-0.032041,0.0076042,0.11731,-0.014983,0.013132,0.0021292,0.0096595,-0.050721,0.1219,-0.0114,0.0094868,0.0026166,-0.00071119,-0.00016665,0.0041012
0.2,0.034871,-0.013274,-0.090757,0.26712,1.0274,-0.046196,0.023024,-0.028294,-0.05057,0.03557,0.014722,-0.034646,0.020615,0.12156,0.045982,-0.024133,-0.92411,1.6732,-0.031956,0.13604,0.036869,-0.032001,0.0082308,0.11693,-0.014907,0.013336,0.0022085,0.01017,-0.050646,0.12311,-0.011471,0.0095533,0.0023826,-0.00064146,-8.9326e-05,0.0040552
0.21,0.034418,-0.0082657,-0.092501,0.27873,1.0287,0.022626,0.020488,-0.025488,-0.050719,0.036197,0.015036,-0.033222,0.021229,0.12158,0.04768,-0.024773,-0.9384,1.6686,-0.032093,0.13607,0.03444,-0.03198,0.0088308,0.11644,-0.014831,0.013544,0.0022921,0.010688,-0.050607,0.12435,-0.011552,0.0096128,0.0021395,-0.00057525,-1.4276e-05,0.0040066
