t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0.13,0.0022445,-0.0090198,-0.013205,0.17768,0.45037,-0.11072,0.010384,-0.014789,-0.020785,0.021602,0.0073513,-0.029527,-0.0008818,0.050846,0.0022252,-0.1465,-0.36943,0.95746,-0.035964,0.080473,0.031508,-0.033091,0.0058898,0.092205,-0.00059068,0.0032051,-0.00016037,0.00087702,-0.0056394,0.045849,-0.0029126,0.0032381,0.00075259,-0.00064483,0.00020888,0.0032339
0.14,0.0023817,-0.0081659,-0.014655,0.19735,0.4856,-0.089248,0.0099488,-0.014146,-0.022173,0.023341,0.0079044,-0.030906,-0.00083109,0.05089,0.0024965,-0.14829,-0.37755,0.95354,-0.035394,0.080313,0.030639,-0.032864,0.0063274,0.092198,-0.00059228,0.003279,-0.00017545,0.0013814,-0.0052855,0.046839,-0.0029178,0.0032755,0.00067191,-0.00058505,0.00024377,0.0031944
0.15,0.0024697,-0.0069289,-0.015882,0.21421,0.51149,-0.062053,0.0091639,-0.013048,-0.023144,0.024711,0.0083375,-0.031654,-0.00077806,0.050891,0.0027684,-0.1497,-0.38546,0.94885,-0.034835,0.080098,0.029636,-0.032632,0.0067246,0.092112,-0.00059425,0.0033579,-0.00018906,0.0018685,-0.005009,0.047895,-0.0029322,0.0033157,0.00058854,-0.00052943,0.00027685,0.0031576
0.16,0.0025425,-0.0054687,-0.01707,0.23061,0.53458,-0.031346,0.0081878,-0.011759,-0.024014,0.026014,0.0087601,-0.032227,-0.00072339,0.050968,0.0030433,-0.15107,-0.39395,0.94565,-0.034367,0.080016,0.028574,-0.032473,0.0071001,0.092165,-0.00059652,0.003441,-0.00020137,0.0023403,-0.0047992,0.049003,-0.0029552,0.0033574,0.00050221,-0.00047743,0.00030844,0.0031224
0.17,0.0026041,-0.0038256,-0.018229,0.24667,0.55552,0.0021465,0.0070461,-0.010344,-0.024832,0.027276,0.0091833,-0.032702,-0.00066646,0.051116,0.0033225,-0.15243,-0.40301,0.94382,-0.033983,0.080052,0.027459,-0.032382,0.0074567,0.09235,-0.00059902,0.0035279,-0.00021249,0.0027982,-0.0046466,0.050155,-0.0029862,0.0033994,0.00041271,-0.00042861,0.00033881,0.003088
0.18,0.0026501,-0.0020167,-0.019317,0.26183,0.57323,0.037909,0.0057374,-0.0088215,-0.025563,0.028443,0.0095888,-0.033038,-0.00060636,0.051286,0.0036057,-0.15369,-0.4123,0.94244,-0.03365,0.080124,0.026271,-0.032332,0.0077887,0.092581,-0.00060171,0.003618,-0.00022256,0.0032436,-0.0045424,0.051343,-0.0030246,0.0034409,0.0003199,-0.00038259,0.00036818,0.0030535
0.19,0.0026777,-7.0826e-05,-0.020298,0.2756,0.58689,0.075262,0.0042728,-0.0072201,-0.026184,0.029471,0.0099609,-0.033206,-0.00054242,0.051431,0.0038914,-0.15477,-0.42148,0.94066,-0.033333,0.080155,0.024999,-0.032298,0.0080889,0.092778,-0.00060453,0.003711,-0.0002317,0.0036773,-0.0044784,0.052558,-0.00307,0.0034809,0.00022371,-0.00033905,0.00039674,0.0030183
0.2,0.0026887,0.0019637,-0.021167,0.28788,0.59675,0.11331,0.0026845,-0.0055996,-0.026715,0.030362,0.010299,-0.033248,-0.00047446,0.051526,0.0041782,-0.15565,-0.43035,0.93803,-0.033015,0.080104,0.023644,-0.032266,0.008355,0.092896,-0.00060743,0.0038066,-0.00024,0.0040999,-0.0044476,0.053793,-0.0031218,0.0035184,0.00012419,-0.00029772,0.00042463,0.0029816
0.21,0.0026867,0.0040359,-0.021933,0.29879,0.60346,0.15119,0.0010096,-0.0040267,-0.027188,0.031137,0.010608,-0.033234,-0.00040253,0.051558,0.0044647,-0.15631,-0.43876,0.93431,-0.032686,0.079944,0.022216,-0.032229,0.0085852,0.092909,-0.00061039,0.0039043,-0.00024754,0.0045113,-0.0044437,0.055044,-0.0031797,0.0035527,2.1479e-05,-0.00025841,0.000452,0.0029429
0.22,0.0026745,0.0061071,-0.022604,0.30842,0.60758,0.18826,-0.0007236,-0.0025488,-0.027627,0.03181,0.010888,-0.033215,-0.0003268,0.051518,0.0047489,-0.15675,-0.44657,0.92939,-0.032337,0.07966,0.020725,-0.03218,0.0087795,0.0928,-0.00061334,0.0040037,-0.00025444,0.0049114,-0.0044598,0.056303,-0.0032432,0.0035832,-8.4328e-05,-0.00022086,0.00047894,0.0029017
